"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
27/11/16,09:43:27,20.698,63.600,0.2029,0.2647,11.589,13.6
27/11/16,10:43:28,22.992,53.800,0.2044,0.2639,13.882,13.1
27/11/16,11:43:29,26.426,56.600,0.2044,0.2639,15.509,17.1
27/11/16,12:43:30,25.914,59.600,0.2044,0.2632,18.866,17.5
27/11/16,13:43:31,26.378,57.100,0.2022,0.2632,19.912,17.2
27/11/16,14:43:32,24.677,57.600,0.2015,0.2625,20.984,15.8
27/11/16,15:43:33,24.098,60.700,0.2000,0.2625,20.865,16.1
27/11/16,16:43:34,21.891,61.000,0.1964,0.2625,20.365,14.1
27/11/16,17:43:35,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,18:43:36,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,19:43:37,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,20:43:38,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,21:43:39,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,22:43:40,537.327,1.000,-0.4006,-0.4006,537.327,177.1
27/11/16,23:43:41,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,00:43:42,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,01:43:43,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,02:43:44,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,03:43:45,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,04:43:46,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,05:43:47,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,06:43:48,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,07:43:49,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,08:43:50,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,09:43:51,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,10:43:52,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,11:43:53,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,12:43:54,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,13:43:55,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,14:43:56,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,15:43:57,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,16:43:58,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,17:43:59,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,18:44:00,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,19:44:01,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,20:44:02,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,21:44:03,54.564,1.000,-0.4006,-0.4006,537.327,-17.6
28/11/16,22:44:04,537.327,1.000,-0.4006,-0.4006,537.327,177.1
28/11/16,23:44:05,537.327,1.000,-0.4006,-0.4006,537.327,177.1
29/11/16,00:44:06,537.327,1.000,-0.4006,-0.4006,537.327,177.1
29/11/16,01:44:07,537.327,1.000,-0.4006,-0.4006,537.327,177.1
29/11/16,02:44:08,537.327,1.000,-0.4006,-0.4006,537.327,177.1
29/11/16,03:44:09,537.327,1.000,-0.4006,-0.4006,537.327,177.1
29/11/16,04:44:10,537.327,99.800,1.7420,0.2392,58.568,537.8
29/11/16,05:44:11,0.273,100.000,1.7384,0.2385,58.568,0.3
29/11/16,06:44:12,-0.171,100.000,1.7398,0.2385,58.609,-0.2
29/11/16,07:44:13,0.246,100.000,1.7413,0.2378,58.609,0.2
29/11/16,08:44:14,0.577,100.000,1.7384,0.2378,58.609,0.6
29/11/16,09:44:15,1.534,100.000,1.7260,0.2378,58.651,1.5
29/11/16,10:44:16,4.402,95.900,1.6955,0.2385,58.651,3.8
29/11/16,11:44:17,6.990,84.700,1.6723,0.2385,58.651,4.6
29/11/16,12:44:18,5.488,81.700,1.6599,0.2385,58.651,2.6
29/11/16,13:44:19,4.818,85.600,1.6585,0.2385,58.693,2.6
29/11/16,14:44:20,3.670,89.100,1.6657,0.2378,58.693,2.0
29/11/16,15:44:21,2.850,92.000,1.6752,0.2371,58.693,1.7
29/11/16,16:44:22,2.690,92.200,1.6824,0.2363,58.693,1.6
29/11/16,17:44:23,2.584,92.100,1.6868,0.2356,58.734,1.4
29/11/16,18:44:24,1.805,93.700,1.6984,0.2349,58.734,0.9
29/11/16,19:44:25,1.697,96.700,1.7086,0.2342,58.734,1.2
29/11/16,20:44:26,1.886,98.300,1.7093,0.2342,58.776,1.6
29/11/16,21:44:27,1.697,98.500,1.7129,0.2334,58.776,1.5
29/11/16,22:44:28,2.047,99.900,1.7108,0.2327,58.776,2.0
29/11/16,23:44:29,1.724,99.900,1.7093,0.2327,58.818,1.7
30/11/16,00:44:30,1.453,99.000,1.7137,0.2327,58.818,1.3
30/11/16,01:44:31,1.751,99.400,1.7137,0.2320,58.818,1.7
30/11/16,02:44:32,2.074,100.000,1.7122,0.2320,58.860,2.1
30/11/16,03:44:33,2.236,100.000,1.7100,0.2313,58.860,2.2
30/11/16,04:44:34,2.236,99.900,1.7093,0.2313,58.860,2.2
30/11/16,05:44:35,2.370,100.000,1.7093,0.2305,58.860,2.4
30/11/16,06:44:36,2.450,100.000,1.7079,0.2298,58.902,2.4
30/11/16,07:44:37,2.450,100.000,1.7064,0.2298,58.860,2.4
30/11/16,08:44:38,2.503,100.000,1.7057,0.2298,58.902,2.5
30/11/16,09:44:39,2.930,100.000,1.7028,0.2305,58.902,2.9
30/11/16,10:44:40,3.380,100.000,1.6948,0.2313,58.860,3.4
30/11/16,11:44:41,3.459,100.000,1.6875,0.2327,58.902,3.5
30/11/16,12:44:42,3.591,100.000,1.6839,0.2334,58.902,3.6
30/11/16,13:44:43,3.801,100.000,1.6803,0.2334,58.902,3.8
30/11/16,14:44:44,3.617,100.000,1.6759,0.2342,58.902,3.6
30/11/16,15:44:45,3.801,100.000,1.6788,0.2334,58.902,3.8
30/11/16,16:44:46,3.854,100.000,1.6774,0.2349,58.860,3.9
30/11/16,17:44:47,4.011,100.000,1.6774,0.2422,58.860,4.0
30/11/16,18:44:48,4.089,100.000,1.6774,0.2632,58.776,4.1
30/11/16,19:44:49,4.246,100.000,1.6759,0.2908,58.609,4.2
30/11/16,20:44:50,4.402,100.000,1.6737,0.3061,57.908,4.4
30/11/16,21:44:51,4.506,100.000,1.6723,0.3141,56.938,4.5
