"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
27-01-2013,11:23:29,0.2269
27-01-2013,12:23:30,0.2254
27-01-2013,13:23:31,0.2218
27-01-2013,14:23:32,0.2167
27-01-2013,15:23:33,0.2116
27-01-2013,16:23:34,0.2073
27-01-2013,17:23:35,0.2037
27-01-2013,18:23:36,0.2008
27-01-2013,19:23:37,0.1978
27-01-2013,20:23:38,0.1957
27-01-2013,21:23:39,0.1942
27-01-2013,22:23:40,0.1935
27-01-2013,23:23:41,0.1928
28-01-2013,00:23:42,0.1913
28-01-2013,01:23:43,0.1913
28-01-2013,02:23:44,0.1906
28-01-2013,03:23:45,0.1899
28-01-2013,04:23:46,0.1891
28-01-2013,05:23:47,0.1884
28-01-2013,06:23:48,0.1877
28-01-2013,07:23:49,0.1877
28-01-2013,08:23:50,0.1877
28-01-2013,09:23:51,0.1877
28-01-2013,10:23:52,0.1877
28-01-2013,11:23:53,0.1862
28-01-2013,12:23:54,0.1862
28-01-2013,13:23:55,0.1833
28-01-2013,14:23:56,0.1811
28-01-2013,15:23:57,0.1782
28-01-2013,16:23:58,0.1739
28-01-2013,17:23:59,0.1702
28-01-2013,18:24:00,0.1666
28-01-2013,19:24:01,0.1637
28-01-2013,20:24:02,0.1615
28-01-2013,21:24:03,0.2247
28-01-2013,22:24:04,0.2313
28-01-2013,23:24:05,0.2291
29-01-2013,00:24:06,0.2284
29-01-2013,01:24:07,0.2269
29-01-2013,02:24:08,0.2262
29-01-2013,03:24:09,0.2262
29-01-2013,04:24:10,0.2254
29-01-2013,05:24:11,0.2262
29-01-2013,06:24:12,0.2276
29-01-2013,07:24:13,0.2291
29-01-2013,08:24:14,0.2298
29-01-2013,09:24:15,0.2298
29-01-2013,10:24:16,0.2298
29-01-2013,11:24:17,0.2291
29-01-2013,12:24:18,0.2291
29-01-2013,13:24:19,0.2276
29-01-2013,14:24:20,0.2269
29-01-2013,15:24:21,0.2254
29-01-2013,16:24:22,0.2233
29-01-2013,17:24:23,0.2218
29-01-2013,18:24:24,0.2196
29-01-2013,19:24:25,0.2182
29-01-2013,20:24:26,0.2167
29-01-2013,21:24:27,0.2160
29-01-2013,22:24:28,0.2153
29-01-2013,23:24:29,0.2138
30-01-2013,00:24:30,0.2131
30-01-2013,01:24:31,0.2131
30-01-2013,02:24:32,0.2124
